character,radicals
层,尸 ;二 ;厶 
灯,火 ;一 ;亅 
练,纟 ;乚 ;一 ;㇆ ;八 
爷,父 ;㇆ ;丨 
蓝,艹 ;丨 ;丨 ;丿 ;一 ;丶 ;皿 
帽,巾 ;冂 ;二 ;目 
旧,丨 ;日 
满,氵 ;艹 ;一 ;从 ;冂 
骑,马 ;大 ;一 ;亅 ;口 
阳,阝 ;日 
极,木 ;㇎ ;丿 ;㇏ 
主,王 ;丶 
鼻,鼻 
角,角 
变,亠 ;丨 ;亅 ;八 ;又 
化,亻 ;匕 
级,纟 ;㇎ ;丿 ;㇏ 
环,王 ;一 ;丿 ;卜 
境,土 ;音 ;儿 
胖,月 ;二 ;丨 ;丷 
图,囗 ;夂 ;⺀ 
邮,二 ;丨 ;凵 ;阝 
耳,耳 
朵,几 ;木 
裙,衤 ;⺕ ;丨 ;口 
鲜,鱼 ;羊 
聊,耳 ;卯 
南,十 ;冂 ;丷 ;干 
卡,⺊ ;一 ;卜 
梯,木 ;丷 ;弓 ;丨 ;㇒ 
澡,氵 ;品 ;木 
饮,饣 ;欠 
料,米 ;斗 
平,干 ;丷 
业,No glyph available ;丷 ;一 
衬,衤 ;寸 
衫,衤 ;彡 
绩,纟 ;龶 ;贝 
碗,石 ;宀 ;夕 ;乚 ;㇆ 
阿,阝 ;一 ;亅 ;口 
姨,女 ;大 ;弓 
文,文 
绿,纟 ;彐 ;氺 
扫,扌 ;彐 
草,艹 ;日 ;十 
冰,冫 ;水 
箱,⺮ ;木 ;目 
数,米 ;女 ;⺙ 
急,⺈ ;彐 ;心 
瘦,疒 ;臼 ;丨 ;又 
提,扌 ;日 ;一 ;龰 
矮,矢 ;禾 ;女 
铁,钅 ;人 ;二 ;㇒ 
育,亠 ;厶 ;月 
刻,亠 ;丨 ;㇙ ;人 ;刂 
护,扌 ;户 
盘,舟 ;皿 
瓶,丷 ;一 ;廾 ;瓦 
街,行 ;圭 
锻,钅 ;丨 ;No glyph available ;殳 
炼,火 ;乚 ;一 ;㇆ ;八 
感,厂 ;戈 ;一 ;口 ;心 
冒,冂 ;二 ;目 
超,走 ;刀 ;口 
饱,饣 ;勹 ;巳 
香,香 
蕉,艹 ;隹 ;灬 
夏,一 ;自 ;夂 
网,网 
季,禾 ;子 
渴,氵 ;曰 ;勹 ;人 ;㇗ 
烧,火 ;No glyph available ;一 ;儿 
空,穴 ;工 
调,讠 ;田 ;口 
春,一 ;二 ;丨 ;八 ;日 
伞,人 ;十 ;丷 
斤,斤 
熊,厶 ;月 ;No glyph available ;灬 
刷,尸 ;巾 ;刂 
牙,牙 
复,丿 ;一 ;日 ;夂 
冬,夂 ;⺀ 
假,亻 ;尸 ;二 ;No glyph available ;又 
秋,禾 ;火 
句,勹 ;口 
李,木 ;子 
筷,⺮ ;忄 ;No glyph available ;丨 ;人 
皮,皮 
鞋,革 ;圭 
爬,爪 ;丨 ;No glyph available ;丨 ;乚 
山,山 
板,木 ;⺁ ;又 
趣,走 ;耳 ;又 
词,讠 ;㇆ ;一 ;口 
典,No glyph available ;二 ;凵 ;八 
留,卯 ;田 
刮,舌 ;刂 
风,风 
黄,艹 ;一 ;二 ;丨 ;凵 ;八 
河,氵 ;一 ;亅 ;口 
死,歹 ;匕 
许,讠 ;干 ;㇒ 
切,乚 ;一 ;刀 
抱,扌 ;勹 ;巳 
歉,丷 ;一 ;No glyph available ;八 ;⺕ ;欠 
肯,止 ;月 
棒,木 ;一 ;二 ;丨 ;八 ;二 ;丨 
掉,扌 ;⺊ ;日 ;十 
活,氵 ;舌 
之,王 ;丶 ;戈 ;㇝ 
任,亻 ;㇒ ;士 
何,亻 ;一 ;亅 ;口 
与,No glyph available ;一 
弄,王 ;艹 
却,土 ;厶 ;卩 
继,纟 ;㇗ ;米 
续,纟 ;十 ;㇖ ;大 ;⺀ 
够,勹 ;口 ;多 
父,父 
亲,立 ;十 ;小 
全,人 ;王 
谈,讠 ;炎 
警,艹 ;勹 ;口 ;⺙ ;言 
察,宀 ;月 ;卩 ;示 
呀,口 ;牙 
况,冫 ;口 ;儿 
份,亻 ;人 ;刀 
底,广 ;氏 ;丶 
永,㇆ ;㇇ ;No glyph available ;丶 
计,讠 ;十 
划,戈 ;刂 
俩,亻 ;一 ;从 ;冂 
停,亻 ;亠 ;口 ;冖 ;一 ;亅 
敢,No glyph available ;耳 ;⺙ 
赢,匸 ;丶 ;口 ;月 ;几 ;丶 ;贝 
消,氵 ;⺌ ;月 
拉,扌 ;立 
原,厂 ;白 ;小 
连,辶 ;车 
确,石 ;角 
挺,扌 ;廴 ;㇒ ;士 
保,亻 ;口 ;木 
证,讠 ;一 ;止 
受,爫 ;冖 ;又 
改,己 ;⺙ 
麻,麻 
烦,火 ;页 
管,⺮ ;宀 ;㠯 
甚,甘 ;匚 ;儿 
至,至 
律,彳 ;聿 
演,氵 ;宀 ;一 ;二 ;丨 ;凵 ;八 
无,无 
猜,犭 ;青 
咱,口 ;自 
内,人 ;冂 
否,一 ;丿 ;卜 ;口 
功,工 ;力 
虑,虍 ;心 
约,纟 ;勹 ;丶 
通,辶 ;龴 ;用 
母,母 
倒,亻 ;至 ;刂 
释,釆 ;又 ;二 ;丨 
联,耳 ;丷 ;一 ;大 
命,人 ;一 ;口 ;卩 
由,二 ;丨 ;凵 
指,扌 ;匕 ;日 
危,⺈ ;厂 ;乚 ;㇆ 
险,阝 ;人 ;一 ;⺍ ;一 
讨,讠 ;寸 
厌,厂 ;犬 
醒,酉 ;日 ;生 
部,立 ;口 ;阝 
使,亻 ;十 ;口 ;丨 ;乂 
转,车 ;二 ;丨 ;龴 
博,十 ;十 ;用 ;丶 ;寸 
士,士 
紧,丨 ;丨 ;又 ;糸 
弃,亠 ;厶 ;艹 
概,木 ;丨 ;彐 ;乚 ;丶 ;旡 
并,丷 ;一 ;廾 
遍,辶 ;户 ;冂 ;艹 
扔,扌 ;㇎ ;丿 
另,口 ;力 
松,木 ;八 ;厶 
丢,㇒ ;士 ;厶 
负,⺈ ;贝 
责,龶 ;贝 
梦,林 ;夕 
戴,土 ;戈 ;田 ;艹 ;一 ;八 
误,讠 ;口 ;一 ;大 
随,阝 ;辶 ;𠂇 ;月 
支,支 
持,扌 ;土 ;寸 
建,廴 ;聿 
则,贝 ;刂 
光,⺌ ;一 ;儿 
排,扌 ;非 
钥,钅 ;月 
匙,日 ;一 ;龰 ;匕 
首,首 
交,亠 ;八 ;乂 
台,厶 ;口 
坚,丨 ;丨 ;又 ;土 
即,丨 ;彐 ;乚 ;丶 ;卩 
处,夂 ;卜 
挂,扌 ;圭 
怜,忄 ;人 ;丶 ;龴 
骗,马 ;户 ;冂 ;艹 
谅,讠 ;亠 ;口 ;小 
乱,舌 ;乚 
研,石 ;一 ;廾 
究,穴 ;丿 ;㇈ 
扰,扌 ;尢 ;丶 
收,丨 ;㇙ ;⺙ 
秒,禾 ;小 ;丿 
供,亻 ;艹 ;一 ;八 
输,车 ;人 ;一 ;月 ;刂 
码,石 ;马 
座,广 ;土 ;从 
严,一 ;No glyph available ;丷 ;一 ;厂 
脱,月 ;丷 ;口 ;儿 
陪,阝 ;立 ;口 
值,亻 ;十 ;目 ;一 
论,讠 ;人 ;匕 
仍,亻 ;㇎ ;丿 
赶,走 ;干 
怀,忄 ;一 ;丿 ;卜 
疑,匕 ;矢 ;龴 ;疋 
拒,扌 ;匚 ;No glyph available 
绝,纟 ;色 
破,石 ;皮 
此,止 ;匕 
案,宀 ;女 ;木 
既,丨 ;彐 ;乚 ;丶 ;旡 
刀,刀 
适,辶 ;舌 
合,人 ;一 ;口 
失,人 ;二 ;㇒ 
允,厶 ;儿 
获,艹 ;犭 ;犬 
邀,辶 ;白 ;方 ;⺙ 
尽,尸 ;㇏ ;⺀ 
浪,氵 ;艮 ;丶 
费,弓 ;No glyph available ;贝 
败,贝 ;⺙ 
美,羊 ;大 
丽,一 ;No glyph available 
压,厂 ;土 ;丶 
味,口 ;木 ;一 
厉,厂 ;一 ;丿 ;㇆ 
奋,大 ;田 
观,又 ;见 
众,众 
反,⺁ ;又 
精,米 ;青 
彩,爫 ;木 ;彡 
愉,忄 ;人 ;一 ;月 ;刂 
杂,丿 ;㇈ ;十 ;小 
志,士 ;心 
广,广 
深,氵 ;⺳ ;木 
取,耳 ;又 
帅,No glyph available ;巾 
推,扌 ;隹 
键,钅 ;廴 ;聿 
竟,音 ;儿 
恐,工 ;几 ;丶 ;心 
躺,身 ;⺌ ;冂 ;口 
聚,耳 ;又 ;乑 
幸,土 ;丷 ;干 
福,礻 ;一 ;口 ;田 
技,扌 ;支 
术,木 ;丶 
困,囗 ;木 
激,氵 ;白 ;方 ;⺙ 
骄,马 ;㇒ ;大 ;No glyph available 
傲,亻 ;龶 ;一 ;丿 ;㇆ ;⺙ 
毛,毛 
顺,川 ;页 
利,禾 ;刂 
职,耳 ;口 ;八 
赚,贝 ;丷 ;一 ;No glyph available ;八 ;⺕ 
址,土 ;止 
拾,扌 ;人 ;一 ;口 
围,囗 ;韦 
尊,丷 ;酉 ;寸 
授,扌 ;爫 ;冖 ;又 
寄,宀 ;大 ;一 ;亅 ;口 
低,亻 ;氏 ;丶 
剩,禾 ;北 ;刂 
社,礻 ;土 
示,示 
印,㇒ ;㇗ ;一 ;卩 
象,⺈ ;口 ;丨 ;勹 ;No glyph available ;No glyph available 
估,亻 ;十 ;口 
举,⺍ ;一 ;八 ;二 ;丨 
伙,亻 ;火 
著,艹 ;耂 ;日 
免,⺈ ;口 ;丨 ;乚 
伤,亻 ;丿 ;一 ;力 
仔,亻 ;子 
细,纟 ;田 
巧,工 ;一 ;㇉ 
克,十 ;口 ;儿 
辣,辛 ;木 ;口 
互,一 ;彑 
厕,厂 ;贝 ;刂 
程,禾 ;口 ;王 
申,日 ;丨 
引,弓 ;丨 
展,尸 ;艹 ;一 ;乚 ;No glyph available 
毕,比 ;十 
式,弋 ;工 
厨,厂 ;豆 ;寸 
专,二 ;丨 ;龴 
吸,口 ;㇎ ;丿 ;㇏ 
祝,礻 ;口 ;儿 
贺,力 ;口 ;贝 
糖,米 ;广 ;⺺ ;口 
趟,走 ;⺌ ;冂 ;口 
密,宀 ;心 ;丿 ;山 
倍,亻 ;立 ;口 
擦,扌 ;宀 ;月 ;卩 ;示 
尤,尢 ;丶 
验,马 ;人 ;一 ;⺍ ;一 
盒,人 ;一 ;口 ;皿 
脏,月 ;广 ;土 
艺,艹 ;㇠ 
速,辶 ;木 ;口 
度,广 ;廿 ;又 
勇,龴 ;田 ;力 
暂,车 ;斤 ;日 
优,亻 ;尢 ;丶 
秀,禾 ;㇎ ;丿 
惜,忄 ;艹 ;一 ;日 
省,小 ;丿 ;目 
笨,⺮ ;木 ;一 
科,禾 ;斗 
餐,歺 ;又 ;食 
厅,厂 ;一 ;亅 
各,夂 ;口 
距,⻊ ;匚 ;No glyph available 
窗,穴 ;囗 ;丶 ;夂 
户,户 
悔,忄 ;丿 ;一 ;母 
规,人 ;二 ;见 
效,亠 ;八 ;乂 ;⺙ 
金,金 
童,立 ;里 
篇,⺮ ;户 ;冂 ;艹 
漫,氵 ;日 ;罒 ;又 
态,大 ;丶 ;心 
惊,忄 ;亠 ;口 ;小 
熟,亠 ;口 ;子 ;丿 ;㇈ ;丶 ;灬 
悉,釆 ;心 
按,扌 ;宀 ;女 
纪,纟 ;己 
忆,忄 ;㇠ 
肤,月 ;人 ;二 
区,匚 ;乂 
页,页 
章,立 ;日 ;十 
言,言 
标,木 ;示 
桥,木 ;㇒ ;大 ;No glyph available 
肚,月 ;土 
仅,亻 ;又 
饼,饣 ;丷 ;一 ;廾 
际,阝 ;示 
抬,扌 ;厶 ;口 
竞,立 ;口 ;儿 
争,⺈ ;⺕ ;亅 
汤,氵 ;㇎ ;No glyph available 
诚,讠 ;一 ;丿 ;㇆ ;戈 
存,𠂇 ;亻 ;子 
扮,扌 ;八 ;刀 
流,氵 ;亠 ;厶 ;儿 ;丨 
龄,齿 ;人 ;丶 ;龴 
符,⺮ ;亻 ;寸 
稍,禾 ;⺌ ;月 
微,彳 ;山 ;⺙ ;一 ;几 
增,土 ;丷 ;口 ;丨 ;丷 ;日 
敲,高 ;攴 
苦,艹 ;十 ;口 
辛,辛 
耐,而 ;寸 
将,丬 ;小 ;扌 ;亠 ;从 ;十 
沙,氵 ;小 ;丿 
禁,林 ;示 
止,止 
济,氵 ;齐 
购,贝 ;勹 ;厶 
抽,扌 ;二 ;丨 ;凵 
烟,火 ;囗 ;大 
航,舟 ;亠 ;几 
貌,豸 ;白 ;儿 
判,二 ;丨 ;丷 ;刂 
断,㇗ ;米 ;斤 
胳,月 ;夂 ;口 
膊,月 ;十 ;用 ;丶 ;寸 
整,木 ;口 ;⺙ ;一 ;止 
森,森 
林,林 
量,日 ;一 ;里 
镜,钅 ;音 ;儿 
播,扌 ;釆 ;田 
弹,弓 ;丷 ;冂 ;二 ;丨 ;十 
钢,钅 ;冂 ;乂 
琴,玨 ;人 ;丶 ;㇇ 
尝,⺌ ;冖 ;二 ;厶 
材,木 ;𠂇 ;㇒ 
详,讠 ;羊 
降,阝 ;夂 ;十 ;㇗ ;丨 
落,艹 ;氵 ;夂 ;口 
格,木 ;夂 ;口 
偶,亻 ;冂 ;二 ;丨 ;禸 
尔,⺈ ;小 
