simp	trad	hsk	pinyin	pinyin_tonemarks	pinyin_blocks	pinyin_tones	eng
医院	醫院	1	yi1yuan4	yīyuàn	yi,yuan	1,4	hospital
没关系	沒關系	1	mei2 guan1xi5	méi guānxi	mei,guan,xi	2,1,5	it doesn't matter; never mind
飞机	飛機	1	fei1ji1	fēijī	fei,ji	1,1	airplane
二	二	1	er4	èr	er	4	two
电视	電視	1	dian4shi4	diànshì	dian,shi	4,4	television; TV
读	讀	1	du2	dú	du	2	to read; to study
后面	后面	1	hou4mian5	hòumian	hou,mian	4,5	back; behind
昨天	昨天	1	zuo2tian1	zuótiān	zuo,tian	2,1	yesterday
睡觉	睡覺	1	shui4 jiao4	shuì jiào	shui,jiao	4,4	to sleep; go to bed
六	六	1	liu4	liù	liu	4	six
老师	老師	1	lao3shi1	lǎoshī	lao,shi	3,1	teacher
星期	星期	1	xing1qi1	xīngqī	xing,qi	1,1	week
十	十	1	shi2	shí	shi	2	ten
猫	貓	1	mao1	māo	mao	1	cat
电脑	電腦	1	dian4nao3	diànnǎo	dian,nao	4,3	computer
热	熱	1	re4	rè	re	4	heat; hot
学生	學生	1	xue2sheng5	xuésheng	xue,sheng	2,5	student
下午	下午	1	xia4wu3	xiàwǔ	xia,wu	4,3	afternoon
学习	學習	1	xue2xi2	xuéxí	xue,xi	2,2	learn; to study
冷	冷	1	leng3	lěng	leng	3	cold
不客气	不客氣	1	bu2 ke4qi5	bú kèqi	bu,ke,qi	2,4,5	you're welcome; don't be polite
前面	前面	1	qian2mian4	qiánmiàn	qian,mian	2,4	in front
八	八	1	ba1	bā	ba	1	eight
中国	中國	1	Zhong1guo2	Zhōngguó	zhong,guo	1,2	China
七	七	1	qi1	qī	qi	1	seven
菜	菜	1	cai4	cài	cai	4	dish (type of food); vegetables
桌子	桌子	1	zhuo1zi5	zhuōzi	zhuo,zi	1,5	table; desk
出租车	出租車	1	chu1zu1che1	chūzūchē	chu,zu,che	1,1,1	taxi; cab
天气	天氣	1	tian1qi4	tiānqì	tian,qi	1,4	weather
茶	茶	1	cha2	chá	cha	2	tea
九	九	1	jiu3	jiǔ	jiu	3	nine
商店	商店	1	shang1dian4	shāngdiàn	shang,dian	1,4	shop; store
椅子	椅子	1	yi3zi5	yǐzi	yi,zi	3,5	chair
同学	同學	1	tong2xue2	tóngxué	tong,xue	2,2	fellow student; schoolmate
一点儿	一點兒	1	yi4dian3r5	yìdiǎnr	yi,dian,r	4,3,5	a bit; a few
苹果	蘋果	1	ping2guo3	píngguǒ	ping,guo	2,3	apple
饭店	飯店	1	fan4dian4	fàndiàn	fan,dian	4,4	restaurant; hotel
中午	中午	1	zhong1wu3	zhōngwǔ	zhong,wu	1,3	noon; midday
上午	上午	1	shang4wu3	shàngwǔ	shang,wu	4,3	late morning (before noon)
水果	水果	1	shui3guo3	shuǐguǒ	shui,guo	3,3	fruit
杯子	杯子	1	bei1zi5	bēizi	bei,zi	1,5	cup; glass
下雨	下雨	1	xia4yu3	xiàyǔ	xia,yu	4,3	to rain
米饭	米飯	1	mi3fan4	mǐfàn	mi,fan	3,4	(cooked) rice
北京	北京	1	Bei3jing1	Běijīng	bei,jing	3,1	Beijing
汉语	漢語	1	Han4yu3	Hànyǔ	han,yu	4,3	Chinese language
就	就	2	jiu4	jiù	jiu	4	then; at once; just; only; with regard to
要	要	2	yao4	yào	yao	4	to want; to need; will/shall; important
要	要	2	yao1	yāo	yao	1	demand; request
知道	知道	2	zhi1dao5	zhīdao	zhi,dao	1,5	know; be aware of
吧	吧	2	ba5	ba	ba	5	particle indicating polite suggestion;
吧	吧	2	ba1	bā	ba	1	onomatopoeia ; bar (serving drinks, providing internet access, etc.)
到	到	2	dao4	dào	dao	4	arrive (at a place); until (a time)
对	對	2	dui4	duì	dui	4	correct; a pair; to face; be opposite; to; towards
也	也	2	ye3	yě	ye	3	also; too
还	還	2	hai2	hái	hai	2	still; yet; in addition; even
还	還	2	huan2	huán	huan	2	repay; to return
让	讓	2	rang4	ràng	rang	4	ask; let; yield
给	給	2	gei3	gěi	gei	3	to give; to grant; (passive particle)
给	給	2	ji3	jǐ	ji	3	provide
过	過	2	guo4	guò	guo	4	to pass; to cross; go over; (indicates a past experience)
得	得	2	de2	dé	de	2	obtain
得	得	2	dei3	děi	dei	3	must
得	得	2	de5	de	de	5	(complement particle)
真	真	2	zhen1	zhēn	zhen	1	real; true; genuine
着	著	2	zhe5	zhe	zhe	5	-ing (indicating action in progress)
着	著	2	zhao2	zháo	zhao	2	to touch; to feel
着	著	2	zhuo2	zhuó	zhuo	2	to wear; apply
可以	可以	2	ke3yi3	kěyǐ	ke,yi	3,3	can; may; possible; okay
别	別	2	bie2	bié	bie	2	don't do something; don't; depart; other; difference; distinguish
走	走	2	zou3	zǒu	zou	3	to walk; to go; to move (Kangxi radical 156)
告诉	告訴	2	gao4su5	gàosu	gao,su	4,5	to tell; inform
因为	因為	2	yin1wei4	yīnwèi	yin,wei	1,4	because
再	再	2	zai4	zài	zai	4	again; once more
快	快	2	kuai4	kuài	kuai	4	fast; quick; swift
但是	但是	2	dan4shi4	dànshì	dan,shi	4,4	but; however
已经	已經	2	yi3jing5	yǐjing	yi,jing	3,5	already
为什么	為什麼	2	wei4shen2me5	wèishénme	wei,shen,me	4,2,5	why?; for what reason?
觉得	覺得	2	jue2de5	juéde	jue,de	2,5	feel; think
它	它	2	ta1	tā	ta	1	it
从	從	2	cong2	cóng	cong	2	from; obey; observe
找	找	2	zhao3	zhǎo	zhao	3	try to find; look for; seek; to give change
最	最	2	zui4	zuì	zui	4	the most; -est; (indicator for superlative)
可能	可能	2	ke3neng2	kěnéng	ke,neng	3,2	possible; maybe
次	次	2	ci4	cì	ci	4	(mw for number of times of occurrence); nth; order
出	出	2	chu1	chū	chu	1	go out; occur
孩子	孩子	2	hai2zi5	háizi	hai,zi	2,5	child; children; son or daughter
所以	所以	2	suo3yi3	suǒyǐ	suo,yi	3,3	so; therefore; as a result
两	兩	2	liang3	liǎng	liang	3	two; 2; both; (unit of weight equal to 50 grams)
错	錯	2	cuo4	cuò	cuo	4	mistake; error; blunder; miss an opportunity
等	等	2	deng3	děng	deng	3	to wait; rank; equal; etc.
题	題	2	ti2	tí	ti	2	topic; subject; question on a test or assignment
问	問	2	wen4	wèn	wen	4	ask; inquire
问题	問題	2	wen4ti2	wèntí	wen,ti	4,2	question; problem
一起	一起	2	yi4qi3	yìqǐ	yi,qi	4,3	together; in the same place
开始	開始	2	kai1shi3	kāishǐ	kai,shi	1,3	begin; to start; beginning
时间	時間	2	shi2jian1	shíjiān	shi,jian	2,1	time; period
事情	事情	2	shi4qing5	shìqing	shi,qing	4,5	matter; affair; thing; business
一下	一下	2	yi2xia4	yíxià	yi,xia	2,4	a little bit/while; one time; once
非常	非常	2	fei1chang2	fēicháng	fei,chang	1,2	extremely; extraordinary; very
希望	希望	2	xi1wang4	xīwàng	xi,wang	1,4	to hope; wish for; to desire
准备	准備	2	zhun3bei4	zhǔnbèi	zhun,bei	3,4	prepare; get ready
比	比	2	bi3	bǐ	bi	3	compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks
件	件	2	jian4	jiàn	jian	4	(mw for things, clothes, and items)
意思	意思	2	yi4si5	yìsi	yi,si	4,5	meaning; idea; opinion
第一	第一	2	di4yi1	dìyī	di,yi	4,1	first; number 1
进	進	2	jin4	jìn	jin	4	enter; come in
大家	大家	2	da4jia1	dàjiā	da,jia	4,1	everyone
新	新	2	xin1	xīn	xin	1	new; Xinjiang autonomous region (abbreviation)
您	您	2	nin2	nín	nin	2	you (polite)
穿	穿	2	chuan1	chuān	chuan	1	to wear; put on; penetrate
送	送	2	song4	sòng	song	4	deliver; to carry; to give; send
玩	玩	2	wan2	wán	wan	2	to play; have a good time; visit; enjoy
长	長	2	chang2	cháng	chang	2	long; length
长	長	2	zhang3	zhǎng	zhang	3	grow; chief (Kangxi radical 168)
小时	小時	2	xiao3shi2	xiǎoshí	xiao,shi	3,2	hour
完	完	2	wan2	wán	wan	2	to finish; be over; complete
每	每	2	mei3	měi	mei	3	each; every
公司	公司	2	gong1si1	gōngsī	gong,si	1,1	company; corporation
帮助	幫助	2	bang1zhu4	bāngzhù	bang,zhu	1,4	help; assist; aid
晚上	晚上	2	wan3shang5	wǎnshang	wan,shang	3,5	evening; night
说话	說話	2	shuo1hua4	shuōhuà	shuo,hua	1,4	to talk; speak
门	門	2	men2	mén	men	2	door; opening; gate (Kangxi radical 169)
女	女	2	nv3	nǚ	nü	3	woman; female (Kangxi radical 38)
忙	忙	2	mang2	máng	mang	2	busy
卖	賣	2	mai4	mài	mai	4	to sell
高	高	2	gao1	gāo	gao	1	high; tall (Kangxi radical 189)
房间	房間	2	fang2jian1	fángjiān	fang,jian	2,1	room
路	路	2	lu4	lù	lu	4	road; path; journey; route
懂	懂	2	dong3	dǒng	dong	3	understand; know
正在	正在	2	zheng4zai4	zhèngzài	zheng,zai	4,4	in the process of (doing something); currently
笑	笑	2	xiao4	xiào	xiao	4	to laugh; to smile
远	遠	2	yuan3	yuǎn	yuan	3	far; distant; remote
妻子	妻子	2	qi1zi5	qīzi	qi,zi	1,5	wife
丈夫	丈夫	2	zhang4fu5	zhàngfu	zhang,fu	4,5	husband; man
离	離	2	li2	lí	li	2	leave; depart; go away; apart from
往	往	2	wang3	wǎng	wang	3	to go (in a direction); towards; in the past
男	男	2	nan2	nán	nan	2	male
眼睛	眼睛	2	yan3jing5	yǎnjing	yan,jing	3,5	eye
快乐	快樂	2	kuai4le4	kuàilè	kuai,le	4,4	happy
虽然	雖然	2	sui1ran2	suīrán	sui,ran	1,2	although; even though
早上	早上	2	zao3shang5	zǎoshang	zao,shang	3,5	(early) morning
药	藥	2	yao4	yào	yao	4	medicine; drug; cure; chemical
身体	身體	2	shen1ti3	shēntǐ	shen,ti	1,3	health; (human) body
黑	黑	2	hei1	hēi	hei	1	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)
咖啡	咖啡	2	ka1fei1	kāfēi	ka,fei	1,1	coffee
日	日	2	ri4	rì	ri	4	sun; day; date; time (Kangxi radical 72)
休息	休息	2	xiu1xi5	xiūxi	xiu,xi	1,5	to rest; take a break
外	外	2	wai4	wài	wai	4	outer; outside; in addition; foreign
生日	生日	2	sheng1ri4	shēngrì	sheng,ri	1,4	birthday
哥哥	哥哥	2	ge1ge5	gēge	ge,ge	1,5	older brother
票	票	2	piao4	piào	piao	4	ticket; bank note; a vote
手机	手機	2	shou3ji1	shǒujī	shou,ji	3,1	mobile (cell) phone
洗	洗	2	xi3	xǐ	xi	3	to wash; bathe
跳舞	跳舞	2	tiao4 wu3	tiào wǔ	tiao,wu	4,3	to dance
弟弟	弟弟	2	di4di5	dìdi	di,di	4,5	younger brother
妹妹	妹妹	2	mei4mei5	mèimei	mei,mei	4,5	younger sister
红	紅	2	hong2	hóng	hong	2	red; symbol of success; bonus; popular
慢	慢	2	man4	màn	man	4	slow
近	近	2	jin4	jìn	jin	4	near; close (to)
白	白	2	bai2	bái	bai	2	white; snowy; pure; bright; empty (Kangxi radical 106)
姐姐	姐姐	2	jie3jie5	jiějie	jie,jie	3,5	older sister
介绍	介紹	2	jie4shao4	jièshào	jie,shao	4,4	to introduce; recommend; introduction
鱼	魚	2	yu2	yú	yu	2	fish (Kangxi radical 195)
累	累	2	lei4	lèi	lei	4	tired
累	累	2	lei3	lěi	lei	3	accumulate; implicate
累	累	2	lei2	léi	lei	2	rope; bind together
课	課	2	ke4	kè	ke	4	class; subject; lesson; course
上班	上班	2	shang4 ban1	shàng bān	shang,ban	4,1	go to work; be on duty
旁边	旁邊	2	pang2bian1	pángbiān	pang,bian	2,1	side, beside
运动	運動	2	yun4dong4	yùndòng	yun,dong	4,4	(physical) exercise; movement; sports; campaign
去年	去年	2	qu4nian2	qùnián	qu,nian	4,2	last year
报纸	報紙	2	bao4zhi3	bàozhǐ	bao,zhi	4,3	newspaper
颜色	顏色	2	yan2se4	yánsè	yan,se	2,4	color
机场	機場	2	ji1chang3	jīchǎng	ji,chang	1,3	airport; airfield
唱歌	唱歌	2	chang4ge1	chànggē	chang,ge	4,1	sing (a song)
千	千	2	qian1	qiān	qian	1	one thousand
好吃	好吃	2	hao3chi1	hǎochī	hao,chi	3,1	tasty
考试	考試	2	kao3shi4	kǎoshì	kao,shi	3,4	test; exam; to give or take a test
左边	左邊	2	zuo3bian5	zuǒbian	zuo,bian	3,5	the left side; the left
姓	姓	2	xing4	xìng	xing	4	surname; family name
百	百	2	bai3	bǎi	bai	3	hundred
雪	雪	2	xue3	xuě	xue	3	snow
贵	貴	2	gui4	guì	gui	4	expensive; noble; honorable; Guizhou province (abbreviation)
生病	生病	2	sheng1 bing4	shēng bìng	sheng,bing	1,4	get sick; fall ill
游泳	游泳	2	you2yong3	yóuyǒng	you,yong	2,3	to swim
牛奶	牛奶	2	niu2nai3	niúnǎi	niu,nai	2,3	cow's milk
右边	右邊	2	you4bian5	yòubian	you,bian	4,5	the right (as opposed to left) side
便宜	便宜	2	pian2yi5	piányi	pian,yi	2,5	cheap
公共汽车	公共汽車	2	gong1gong4 qi4che1	gōnggòng qìchē	gong,gong,qi,che	1,4,4,1	(public) bus
起床	起床	2	qi3 chuang2	qǐ chuáng	qi,chuang	3,2	get out of bed
打篮球	打籃球	2	da3 lan2qiu2	dǎ lánqiú	da,lan,qiu	3,2,2	play basketball
鸡蛋	雞蛋	2	ji1dan4	jīdàn	ji,dan	1,4	(chicken) egg
踢足球	踢足球	2	ti1zu2qiu2	tīzúqiú	ti,zu,qiu	1,2,2	to play football/soccer
零	零	2	ling2	líng	ling	2	zero; remnant
手表	手表	2	shou3biao3	shǒubiǎo	shou,biao	3,3	wristwatch
旅游	旅游	2	lv3you2	lǚyóu	lü,you	3,2	trip; journey; tour
服务员	服務員	2	fu2wu4yuan2	fúwùyuán	fu,wu,yuan	2,4,2	waiter/waitress; server; attendant
宾馆	賓館	2	bin1guan3	bīnguǎn	bin,guan	1,3	guesthouse; hotel
教室	教室	2	jiao4shi4	jiàoshì	jiao,shi	4,4	classroom
跑步	跑步	2	pao3 bu4	pǎo bù	pao,bu	3,4	to run; to jog
阴	陰	2	yin1	yīn	yin	1	cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade
面条	面條	2	mian4tiao2	miàntiáo	mian,tiao	4,2	noodles
铅笔	鉛筆	2	qian1bi3	qiānbǐ	qian,bi	1,3	pencil
火车站	火車站	2	huo3che1zhan4	huǒchēzhàn	huo,che,zhan	3,1,4	train station
西瓜	西瓜	2	xi1gua1	xīguā	xi,gua	1,1	watermelon
羊肉	羊肉	2	yang2rou4	yángròu	yang,rou	2,4	mutton; lamb
晴	晴	2	qing2	qíng	qing	2	clear; fine (as of weather)
啊	啊	3	a5	a	a	5	ah; (particle showing elation, doubt, puzzled surprise, or approval)
把	把	3	ba3	bǎ	ba	3	(mw for things with handles); (pretransitive particle); to hold
把	把	3	ba4	bà	ba	4	a grip; a handle; stem (of plants)
过	過	3	guo4	guò	guo	4	to pass; to cross; go over; (indicates a past experience)
如果	如果	3	ru2guo3	rúguǒ	ru,guo	2,3	if; in the event that
只	隻	3	zhi3	zhǐ	zhi	3	only; merely; just; but
只	隻	3	zhi1	zhī	zhi	1	(mw for birds and certain animals)
被	被	3	bei4	bèi	bei	4	by (indicates passive voice sentences); a quilt/blanket
跟	跟	3	gen1	gēn	gen	1	to follow; go with; heel
自己	自己	3	zi4ji3	zìjǐ	zi,ji	4,3	oneself; self
用	用	3	yong4	yòng	yong	4	to use (Kangxi radical 101)
像	像	3	xiang4	xiàng	xiang	4	be like; resemble; appearance; appear
为	為	3	wei2	wéi	wei	2	to act (as); become; to mean
为	為	3	wei4	wèi	wei	4	for; because of; to; for the sake of
需要	需要	3	xu1yao4	xūyào	xu,yao	1,4	to need; to want; to demand
应该	應該	3	ying1gai1	yīnggāi	ying,gai	1,1	should; ought to; must
起来	起來	3	qi3 lai5	qǐ lai	qi,lai	3,5	(beginning or continuing an action); to rise; get up (from bed)
才	才	3	cai2	cái	cai	2	ability; talent; just now; not until
又	又	3	you4	yòu	you	4	(once) again; also; both (Kangxi radical 29)
拿	拿	3	na2	ná	na	2	carry in your hand; seize; to catch
更	更	3	geng4	gèng	geng	4	more; even more
更	更	3	geng1	gēng	geng	1	change; watch (e.g. of a sentry or guard)
带	帶	3	dai4	dài	dai	4	band; belt; ribbon; carry; bring; take along; bring up (kids)
