simp	trad	hsk	pinyin	pinyin_tonemarks	pinyin_blocks	pinyin_tones	eng
满	滿	4	man3	mǎn	man	3	full; abbreviation for Manchurian
假	假	4	jia3	jiǎ	jia	3	fake; if; borrow
假	假	4	jia4	jià	jia	4	vacation; holiday
研究	研究	4	yan2jiu1	yánjiū	yan,jiu	2,1	to study; to research
打扰	打擾	4	da3rao3	dǎrǎo	da,rao	3,3	disturb
正确	正確	4	zheng4que4	zhèngquè	zheng,que	4,4	correct; proper
收	收	4	shou1	shōu	shou	1	receive; accept; collect; to harvest
秒	秒	4	miao3	miǎo	miao	3	second (unit of time or angle)
同时	同時	4	tong2shi2	tóngshí	tong,shi	2,2	at the same time; simultaneously
提供	提供	4	ti2gong1	tígōng	ti,gong	2,1	to supply; provide; furnish
输	輸	4	shu1	shū	shu	1	to transport; to lose (a game, etc.)
号码	號碼	4	hao4ma3	hàomǎ	hao,ma	4,3	number
座	座	4	zuo4	zuò	zuo	4	(mw for mountains, bridges, tall buildings, etc.); seat; base; stand; constellation
比如	比如	4	bi3ru2	bǐrú	bi,ru	3,2	for example; for instance; such as
严重	嚴重	4	yan2zhong4	yánzhòng	yan,zhong	2,4	grave; serious; critical
脱	脫	4	tuo1	tuō	tuo	1	to shed; take off; to escape
陪	陪	4	pei2	péi	pei	2	accompany; keep company
法律	法律	4	fa3lv4	fǎlǜ	fa,lü	3,4	law; statute
值得	值得	4	zhi2de5	zhíde	zhi,de	2,5	be worth; deserve
使用	使用	4	shi3yong4	shǐyòng	shi,yong	3,4	to use; employ; apply; administer; manipulate
方面	方面	4	fang1mian4	fāngmiàn	fang,mian	1,4	aspect; field; side
原来	原來	4	yuan2lai2	yuánlái	yuan,lai	2,2	original; former; as it turns out
讨论	討論	4	tao3lun4	tǎolùn	tao,lun	3,4	to discuss; discussion; to talk over
说明	說明	4	shuo1ming2	shuōmíng	shuo,ming	1,2	explain; explanation; illustrate; to show
仍然	仍然	4	reng2ran2	réngrán	reng,ran	2,2	still; yet
动作	動作	4	dong4zuo4	dòngzuò	dong,zuo	4,4	movement; motion; action
受到	受到	4	shou4dao4	shòudào	shou,dao	4,4	receive (influence, restriction, etc.); be subjected to
赶	趕	4	gan3	gǎn	gan	3	catch up; overtake; drive away
怀疑	懷疑	4	huai2yi2	huáiyí	huai,yi	2,2	doubt; to suspect; be skeptical
拒绝	拒絕	4	ju4jue2	jùjué	ju,jue	4,2	to refuse; to decline; to reject
演员	演員	4	yan3yuan2	yǎnyuán	yan,yuan	3,2	actor or actress; performer
破	破	4	po4	pò	po	4	broken; damaged; to split
因此	因此	4	yin1ci3	yīncǐ	yin,ci	1,3	therefore; thus; that is why; because of this
答案	答案	4	da2an4	dáàn	da,an	2,4	answer; solution
活动	活動	4	huo2dong4	huódòng	huo,dong	2,4	activity; exercise; move about
既然	既然	4	ji4ran2	jìrán	ji,ran	4,2	since; given that; now that
通知	通知	4	tong1zhi1	tōngzhī	tong,zhi	1,1	notify; to inform; notice
不得不	不得不	4	bu4 de2 bu4	bù dé bù	bu,de,bu	4,2,4	have to; have no choice but to; cannot but
无论	無論	4	wu2lun4	wúlùn	wu,lun	2,4	no matter what; regardless of whether...
刀	刀	4	dao1	dāo	dao	1	knife; blade (Kangxi radical 18)
适合	適合	4	shi4he2	shìhé	shi,he	4,2	to suit; to fit
失望	失望	4	shi1wang4	shīwàng	shi,wang	1,4	disappointed; lose hope
允许	允許	4	yun3xu3	yǔnxǔ	yun,xu	3,3	to permit; allow
意见	意見	4	yi4jian4	yìjiàn	yi,jian	4,4	opinion; view; suggestion; complaint
获得	獲得	4	huo4de2	huòdé	huo,de	4,2	obtain; acquire; to gain
要是	要是	4	yao4shi5	yàoshi	yao,shi	4,5	if; suppose; in case
邀请	邀請	4	yao1qing3	yāoqǐng	yao,qing	1,3	to invite
尽管	盡管	4	jin3guan3	jǐnguǎn	jin,guan	3,3	despite; although; even though; freely; without hesitation
浪费	浪費	4	lang4fei4	làngfèi	lang,fei	4,4	to waste; squander
失败	失敗	4	shi1bai4	shībài	shi,bai	1,4	be defeated; fail; lose
责任	責任	4	ze2ren4	zérèn	ze,ren	2,4	responsibility; blame; duty
美丽	美麗	4	mei3li4	měilì	mei,li	3,4	beautiful
压力	壓力	4	ya1li4	yālì	ya,li	1,4	pressure; stress
味道	味道	4	wei4dao5	wèidao	wei,dao	4,5	flavor; taste
厉害	厲害	4	li4hai5	lìhai	li,hai	4,5	terrible; formidable; fierce; cool; awesome
出发	出發	4	chu1fa1	chūfā	chu,fa	1,1	start out; set off
兴奋	興奮	4	xing1fen4	xīngfèn	xing,fen	1,4	excitement; be excited
观众	觀眾	4	guan1zhong4	guānzhòng	guan,zhong	1,4	spectator; audience
反对	反對	4	fan3dui4	fǎnduì	fan,dui	3,4	oppose; fight against
精彩	精彩	4	jing1cai3	jīngcǎi	jing,cai	1,3	brilliant; spectacular; wonderful
感情	感情	4	gan3qing2	gǎnqíng	gan,qing	3,2	feeling; emotion; sensation
演出	演出	4	yan3chu1	yǎnchū	yan,chu	3,1	to act (in a play); to perform; to put on a show; performance
愉快	愉快	4	yu2kuai4	yúkuài	yu,kuai	2,4	happy; cheerful; delightful
开玩笑	開玩笑	4	kai1 wan2xiao4	kāi wánxiào	kai,wan,xiao	1,2,4	joke; play a joke; make fun of
杂志	雜志	4	za2zhi4	zázhì	za,zhi	2,4	magazine
合适	合適	4	he2shi4	héshì	he,shi	2,4	suitable; proper; appropriate
广告	廣告	4	guang3gao4	guǎnggào	guang,gao	3,4	advertisement; a commercial
自然	自然	4	zi4ran2	zìrán	zi,ran	4,2	nature; natural
深	深	4	shen1	shēn	shen	1	deep; profound; dark (of colors)
取	取	4	qu3	qǔ	qu	3	to take; get; choose
短信	短信	4	duan3xin4	duǎnxìn	duan,xin	3,4	text message; SMS
地球	地球	4	di4qiu2	dìqiú	di,qiu	4,2	the Earth; planet
帅	帥	4	shuai4	shuài	shuai	4	handsome; graceful; commander-in-chief
推	推	4	tui1	tuī	tui	1	to push; to scrape; to decline; postpone; elect
关键	關鍵	4	guan1jian4	guānjiàn	guan,jian	1,4	crucial; key; pivotal
空	空	4	kong1	kōng	kong	1	empty; sky
空	空	4	kong4	kòng	kong	4	leave blank; leisure
究竟	究竟	4	jiu1jing4	jiūjìng	jiu,jing	1,4	after all; when all is said and done; actually
恐怕	恐怕	4	kong3pa4	kǒngpà	kong,pa	3,4	be afraid; to fear; I'm afraid that...
躺	躺	4	tang3	tǎng	tang	3	recline; lie down (on back or side)
聚会	聚會	4	ju4hui4	jùhuì	ju,hui	4,4	hold a meeting; get together; a party
方向	方向	4	fang1xiang4	fāngxiàng	fang,xiang	1,4	direction; orientation
幸福	幸福	4	xing4fu2	xìngfú	xing,fu	4,2	happy; blessed; fortunate
接着	接著	4	jie1zhe5	jiēzhe	jie,zhe	1,5	continue; carry on; to catch; follow
技术	技術	4	ji4shu4	jìshù	ji,shu	4,4	technology; technique; skill
困	困	4	kun4	kùn	kun	4	sleepy; surround; hard-pressed
困难	困難	4	kun4nan5	kùnnan	kun,nan	4,5	difficulty; difficult; problem
正好	正好	4	zheng4hao3	zhènghǎo	zheng,hao	4,3	just (in time); just right; just enough; happen to; by chance
提醒	提醒	4	ti2xing3	tíxǐng	ti,xing	2,3	remind; call attention to; warn of
旅行	旅行	4	lv3xing2	lǚxíng	lü,xing	3,2	travel
激动	激動	4	ji1dong4	jīdòng	ji,dong	1,4	excite; agitate
骄傲	驕傲	4	jiao1ao4	jiāoào	jiao,ao	1,4	proud; arrogant; conceited; take pride in
毛	毛	4	mao2	máo	mao	2	hair; fur; feather; dime (Kangxi radical 82)
节	節	4	jie2	jié	jie	2	section; part; festival; moral integrity; save; (mw for class periods)
许多	許多	4	xu3duo1	xǔduō	xu,duo	3,1	many; a lot; much
顺利	順利	4	shun4li4	shùnlì	shun,li	4,4	go smoothly; without a hitch; successful
职业	職業	4	zhi2ye4	zhíyè	zhi,ye	2,4	profession; occupation
赚	賺	4	zhuan4	zhuàn	zhuan	4	earn; make a profit
赚	賺	4	zuan4	zuàn	zuan	4	to cheat; to swindle
地址	地址	4	di4zhi3	dìzhǐ	di,zhi	4,3	address
于是	於是	4	yu2shi4	yúshì	yu,shi	2,4	as a result; thus; therefore
收拾	收拾	4	shou1shi5	shōushi	shou,shi	1,5	to tidy; put in order; to repair; to settle with; punish
周围	周圍	4	zhou1wei2	zhōuwéi	zhou,wei	1,2	surroundings; vicinity; environment
爱情	愛情	4	ai4qing2	àiqíng	ai,qing	4,2	(romantic) love
尊重	尊重	4	zun1zhong4	zūnzhòng	zun,zhong	1,4	esteem; to respect; to value; to honor
十分	十分	4	shi2fen1	shífēn	shi,fen	2,1	very; fully; 100%
教授	教授	4	jiao4shou4	jiàoshòu	jiao,shou	4,4	professor; instruct; to lecture
超过	超過	4	chao1guo4	chāoguò	chao,guo	1,4	surpass; exceed; outstrip
寄	寄	4	ji4	jì	ji	4	send by mail
顺便	順便	4	shun4bian4	shùnbiàn	shun,bian	4,4	conveniently; in passing; on the way
无聊	無聊	4	wu2liao2	wúliáo	wu,liao	2,2	nonsense; bored; silly; stupid
目的	目的	4	mu4di4	mùdì	mu,di	4,4	purpose; aim; goal
低	低	4	di1	dī	di	1	low; to lower (one's head); droop
剩	剩	4	sheng4	shèng	sheng	4	have as remainder; be left over; surplus
复杂	復雜	4	fu4za2	fùzá	fu,za	4,2	complicated; complex
社会	社會	4	she4hui4	shèhuì	she,hui	4,4	society
故意	故意	4	gu4yi4	gùyì	gu,yi	4,4	deliberately; intentional; on purpose
好处	好處	4	hao3chu5	hǎochu	hao,chu	3,5	benefit; advantage
竟然	竟然	4	jing4ran2	jìngrán	jing,ran	4,2	unexpectedly; to one's surprise; go so far as to
表示	表示	4	biao3shi4	biǎoshì	biao,shi	3,4	express; show; indicate
印象	印象	4	yin4xiang4	yìnxiàng	yin,xiang	4,4	impression
出生	出生	4	chu1sheng1	chūshēng	chu,sheng	1,1	be born
估计	估計	4	gu1ji4	gūjì	gu,ji	1,4	appraise; estimate
地点	地點	4	di4dian3	dìdiǎn	di,dian	4,3	place; site; location
轻	輕	4	qing1	qīng	qing	1	light; easy; gentle; soft
轻松	輕鬆	4	qing1song1	qīngsōng	qing,song	1,1	relaxed; gentle; easygoing
作用	作用	4	zuo4yong4	zuòyòng	zuo,yong	4,4	action; activity; effect
举	舉	4	ju3	jǔ	ju	3	lift; raise; cite
小伙子	小伙子	4	xiao3huo3zi5	xiǎohuǒzi	xiao,huo,zi	3,3,5	young man; lad; youngster
著名	著名	4	zhu4ming2	zhùmíng	zhu,ming	4,2	famous; well-known; celebration
免费	免費	4	mian3 fei4	miǎn fèi	mian,fei	3,4	free (of charge); no cost
伤心	傷心	4	shang1xin1	shāngxīn	shang,xin	1,1	sad; grieve; brokenhearted
记者	記者	4	ji4zhe3	jìzhě	ji,zhe	4,3	reporter; journalist
仔细	仔細	4	zi3xi4	zǐxì	zi,xi	3,4	careful; attentive; cautious
巧克力	巧克力	4	qiao3ke4li4	qiǎokèlì	qiao,ke,li	3,4,4	chocolate
辣	辣	4	la4	là	la	4	hot (spicy)
互相	互相	4	hu4xiang1	hùxiāng	hu,xiang	4,1	mutually; with each other
厕所	廁所	4	ce4suo3	cèsuǒ	ce,suo	4,3	bathroom; toilet; lavatory
过程	過程	4	guo4cheng2	guòchéng	guo,cheng	4,2	course of events; process
申请	申請	4	shen1qing3	shēnqǐng	shen,qing	1,3	apply for; application
引起	引起	4	yin3qi3	yǐnqǐ	yin,qi	3,3	give rise to; lead to; to cause; arouse
发展	發展	4	fa1zhan3	fāzhǎn	fa,zhan	1,3	develop; development; growth
毕业	畢業	4	bi4 ye4	bì yè	bi,ye	4,4	to graduate; to finish school
正式	正式	4	zheng4shi4	zhèngshì	zheng,shi	4,4	formal; official
厨房	廚房	4	chu2fang2	chúfáng	chu,fang	2,2	kitchen
专业	專業	4	zhuan1ye4	zhuānyè	zhuan,ye	1,4	profession; specialized field of study; major
吸引	吸引	4	xi1yin3	xīyǐn	xi,yin	1,3	attract (interest, investment, etc.)
心情	心情	4	xin1qing2	xīnqíng	xin,qing	1,2	mood; state of mind
祝贺	祝賀	4	zhu4he4	zhùhè	zhu,he	4,4	congratulate
条件	條件	4	tiao2jian4	tiáojiàn	tiao,jian	2,4	condition; circumstances; prerequisite
千万	千萬	4	qian1wan4	qiānwàn	qian,wan	1,4	ten million; be sure to; must
糖	糖	4	tang2	táng	tang	2	sugar; candy; sweets
趟	趟	4	tang4	tàng	tang	4	(mw for trips times)
趟	趟	4	tang1	tāng	tang	1	to wade
由于	由於	4	you2yu2	yóuyú	you,yu	2,2	due to; owing to; as a result of; thanks to
密码	密碼	4	mi4ma3	mìmǎ	mi,ma	4,3	password; secret code
倍	倍	4	bei4	bèi	bei	4	(two, three, etc)-fold; times (multiplier)
擦	擦	4	ca1	cā	ca	1	to wipe; to rub; to polish
尤其	尤其	4	you2qi2	yóuqí	you,qi	2,2	especially; particularly
经验	經驗	4	jing1yan4	jīngyàn	jing,yan	1,4	experience
盒子	盒子	4	he2zi5	hézi	he,zi	2,5	box
干杯	干杯	4	gan1 bei1	gān bēi	gan,bei	1,1	to drink a toast; cheers!; bottoms up!
看法	看法	4	kan4fa3	kànfǎ	kan,fa	4,3	point of view; opinion
脏	臟	4	zang1	zāng	zang	1	filthy; dirty
脏	臟	4	zang4	zàng	zang	4	internal organs; viscera
艺术	藝術	4	yi4shu4	yìshù	yi,shu	4,4	art
速度	速度	4	su4du4	sùdù	su,du	4,4	speed; rate; velocity
勇敢	勇敢	4	yong3gan3	yǒnggǎn	yong,gan	3,3	brave; courageous
数字	數字	4	shu4zi4	shùzì	shu,zi	4,4	number; numeral; figure; digit
暂时	暫時	4	zan4shi2	zànshí	zan,shi	4,2	temporary; transient; for the moment
优秀	優秀	4	you1xiu4	yōuxiù	you,xiu	1,4	outstanding; excellent
笑话	笑話	4	xiao4hua5	xiàohua	xiao,hua	4,5	joke; laugh at
可惜	可惜	4	ke3xi1	kěxī	ke,xi	3,1	it's a pity; regrettable; too bad
响	響	4	xiang3	xiǎng	xiang	3	make a sound; to ring; echo
省	省	4	sheng3	shěng	sheng	3	to save; economize; omit; province
省	省	4	xing3	xǐng	xing	3	examine oneself; to visit; be aware
笨	笨	4	ben4	bèn	ben	4	stupid; foolish; silly; dumb; clumsy
科学	科學	4	ke1xue2	kēxué	ke,xue	1,2	science; scientific knowledge
餐厅	餐廳	4	can1ting1	cāntīng	can,ting	1,1	dining hall; cafeteria; restaurant
各	各	4	ge4	gè	ge	4	each; every
距离	距離	4	ju4li2	jùlí	ju,li	4,2	distance; be apart; away from
窗户	窗戶	4	chuang1hu5	chuānghu	chuang,hu	1,5	window
空气	空氣	4	kong1qi4	kōngqì	kong,qi	1,4	air
护士	護士	4	hu4shi5	hùshi	hu,shi	4,5	nurse
后悔	后悔	4	hou4hui3	hòuhuǐ	hou,hui	4,3	to regret; repent
大约	大約	4	da4yue1	dàyuē	da,yue	4,1	approximately; about
内容	內容	4	nei4rong2	nèiróng	nei,rong	4,2	content; substance; details
规定	規定	4	gui1ding4	guīdìng	gui,ding	1,4	regulation; stipulate; fix; set
效果	效果	4	xiao4guo3	xiàoguǒ	xiao,guo	4,3	effect; result
现金	現金	4	xian4jin1	xiànjīn	xian,jin	4,1	cash
儿童	兒童	4	er2tong2	értóng	er,tong	2,2	child; children
租	租	4	zu1	zū	zu	1	to rent
篇	篇	4	pian1	piān	pian	1	sheet; (mw for articles); piece of writing
浪漫	浪漫	4	lang4man4	làngmàn	lang,man	4,4	romantic
态度	態度	4	tai4du5	tàidu	tai,du	4,5	manner; bearing; attitude
自信	自信	4	zi4xin4	zìxìn	zi,xin	4,4	self-confidence
吃惊	吃驚	4	chi1 jing1	chī jīng	chi,jing	1,1	be startled; be shocked; be amazed
熟悉	熟悉	4	shu2xi1	shúxī	shu,xi	2,1	familiar with; know well
按照	按照	4	an4zhao4	ànzhào	an,zhao	4,4	according to; in accordance with; in light of
世纪	世紀	4	shi4ji4	shìjì	shi,ji	4,4	century
回忆	回憶	4	hui2yi4	huíyì	hui,yi	2,4	to recall; recollect
相同	相同	4	xiang1tong2	xiāngtóng	xiang,tong	1,2	identical; same; alike
重点	重點	4	zhong4dian3	zhòngdiǎn	zhong,dian	4,3	emphasis; main point
教育	教育	4	jiao4yu4	jiàoyù	jiao,yu	4,4	education
受不了	受不了	4	shou4 bu5 liao3	shòu bu liǎo	shou,bu,liao	4,5,3	cannot endure; unbearable; can't stand
皮肤	皮膚	4	pi2fu1	pífū	pi,fu	2,1	skin
区别	區別	4	qu1bie2	qūbié	qu,bie	1,2	difference; distinguish
左右	左右	4	zuo3you4	zuǒyòu	zuo,you	3,4	about; approximate; around ; left and right
阳光	陽光	4	yang2guang1	yángguāng	yang,guang	2,1	sunshine; sunlight
页	頁	4	ye4	yè	ye	4	page; leaf (Kangxi radical 181)
文章	文章	4	wen2zhang1	wénzhāng	wen,zhang	2,1	article; essay
语言	語言	4	yu3yan2	yǔyán	yu,yan	3,2	language
标准	標准	4	biao1zhun3	biāozhǔn	biao,zhun	1,3	(an official) standard; norm; criterion
管理	管理	4	guan3li3	guǎnlǐ	guan,li	3,3	supervise; manage
误会	誤會	4	wu4hui4	wùhuì	wu,hui	4,4	to misunderstand; to mistake
桥	橋	4	qiao2	qiáo	qiao	2	bridge
举行	舉行	4	ju3xing2	jǔxíng	ju,xing	3,2	convene; to hold (a meeting, ceremony, etc.)
肚子	肚子	4	du4zi5	dùzi	du,zi	4,5	belly; abdomen; stomach
不仅	不僅	4	bu4jin3	bùjǐn	bu,jin	4,3	not only; not just
饼干	餅干	4	bing3gan1	bǐnggān	bing,gan	3,1	biscuit; cracker; cookie
国际	國際	4	guo2ji4	guójì	guo,ji	2,4	international
信心	信心	4	xin4xin1	xìnxīn	xin,xin	4,1	confidence; faith (in sb. or sth.)
抬	抬	4	tai2	tái	tai	2	to lift; to raise (with both palms up); carry (together)
竞争	競爭	4	jing4zheng1	jìngzhēng	jing,zheng	4,1	compete
汤	湯	4	tang1	tāng	tang	1	soup; broth
作家	作家	4	zuo4jia1	zuòjiā	zuo,jia	4,1	author; writer
诚实	誠實	4	cheng2shi2	chéngshí	cheng,shi	2,2	honest; honorable
顾客	顧客	4	gu4ke4	gùkè	gu,ke	4,4	customer; client
存	存	4	cun2	cún	cun	2	exist; to deposit; to store
香	香	4	xiang1	xiāng	xiang	1	fragrant; savory (Kangxi radical 186)
打扮	打扮	4	da3ban5	dǎban	da,ban	3,5	dress up; put on make up
交流	交流	4	jiao1liu2	jiāoliú	jiao,liu	1,2	communicate; exchange; give and take; interaction; to alternate
年龄	年齡	4	nian2ling2	niánlíng	nian,ling	2,2	(a person's) age
小说	小說	4	xiao3shuo1	xiǎoshuō	xiao,shuo	3,1	novel; fiction
符合	符合	4	fu2he2	fúhé	fu,he	2,2	in keeping with; in accordance with; conform
交通	交通	4	jiao1tong1	jiāotōng	jiao,tong	1,1	traffic; transportation
共同	共同	4	gong4tong2	gòngtóng	gong,tong	4,2	together; common; joint
稍微	稍微	4	shao1wei1	shāowēi	shao,wei	1,1	a little bit; slightly
增加	增加	4	zeng1jia1	zēngjiā	zeng,jia	1,1	to increase; to raise; add
敲	敲	4	qiao1	qiāo	qiao	1	knock; blackmail
适应	適應	4	shi4ying4	shìyìng	shi,ying	4,4	to suit; to fit; adapt
苦	苦	4	ku3	kǔ	ku	3	bitter; miserable
辛苦	辛苦	4	xin1ku3	xīnkǔ	xin,ku	1,3	hard; exhausting; toilsome; laborious
然而	然而	4	ran2er2	ránér	ran,er	2,2	however; yet; but
耐心	耐心	4	nai4xin1	nàixīn	nai,xin	4,1	to be patient
将来	將來	4	jiang1lai2	jiānglái	jiang,lai	1,2	the future
沙发	沙發	4	sha1fa1	shāfā	sha,fa	1,1	sofa
最好	最好	4	zui4hao3	zuìhǎo	zui,hao	4,3	the best; had better ...; it would be best
禁止	禁止	4	jin4zhi3	jìnzhǐ	jin,zhi	4,3	to ban; prohibit
经济	經濟	4	jing1ji4	jīngjì	jing,ji	1,4	economy; economic
座位	座位	4	zuo4wei4	zuòwèi	zuo,wei	4,4	seat; place
购物	購物	4	gou4wu4	gòuwù	gou,wu	4,4	go shopping; buy goods
抽烟	抽煙	4	chou1yan1	chōuyān	chou,yan	1,1	to smoke (a cigarette, pipe, etc.)
航班	航班	4	hang2ban1	hángbān	hang,ban	2,1	scheduled flight; flight number
礼貌	禮貌	4	li3mao4	lǐmào	li,mao	3,4	courtesy; politeness; manners
提前	提前	4	ti2qian2	tíqián	ti,qian	2,2	shift to an earlier date; bring forward; to advance
判断	判斷	4	pan4duan4	pànduàn	pan,duan	4,4	to judge; judgment; to decide
胳膊	胳膊	4	ge1bo5	gēbo	ge,bo	1,5	arm
整理	整理	4	zheng3li3	zhěnglǐ	zheng,li	3,3	put in order; arrange; straighten up; to tidy; to pack (luggage)
森林	森林	4	sen1lin2	sēnlín	sen,lin	1,2	forest
同情	同情	4	tong2qing2	tóngqíng	tong,qing	2,2	compassion; sympathy
网站	網站	4	wang3zhan4	wǎngzhàn	wang,zhan	3,4	website
商量	商量	4	shang1liang5	shāngliang	shang,liang	1,5	consult; talk over; discuss
眼镜	眼鏡	4	yan3jing4	yǎnjìng	yan,jing	3,4	glasses; spectacles
镜子	鏡子	4	jing4zi5	jìngzi	jing,zi	4,5	mirror
广播	廣播	4	guang3bo1	guǎngbō	guang,bo	3,1	broadcast; on the air
专门	專門	4	zhuan1men2	zhuānmén	zhuan,men	1,2	specialized
弹钢琴	彈鋼琴	4	tan2 gang1qin2	tán gāngqín	tan,gang,qin	2,1,2	play the piano
尝	嘗	4	chang2	cháng	chang	2	to taste; flavor; (past tense marker)
流行	流行	4	liu2xing2	liúxíng	liu,xing	2,2	spread; prevalent; be popular
材料	材料	4	cai2liao4	cáiliào	cai,liao	2,4	material
对话	對話	4	dui4hua4	duìhuà	dui,hua	4,4	dialogue; conversation
详细	詳細	4	xiang2xi4	xiángxì	xiang,xi	2,4	detailed; in detail; minute
随着	隨著	4	sui2zhe5	suízhe	sui,zhe	2,5	along with; in the wake of
降落	降落	4	jiang4luo4	jiàngluò	jiang,luo	4,4	descend; to land; put down
功夫	功夫	4	gong1fu5	gōngfu	gong,fu	1,5	kung fu; skill; art; labor
严格	嚴格	4	yan2ge2	yángé	yan,ge	2,2	strict; stringent; tight
日记	日記	4	ri4ji4	rìjì	ri,ji	4,4	diary
偶尔	偶爾	4	ou3er3	ǒuěr	ou,er	3,3	occasionally; once in a while; sometimes
实际	實際	4	shi2ji4	shíjì	shi,ji	2,4	actual; reality; practice
友好	友好	4	you3hao3	yǒuhǎo	you,hao	3,3	friendly (relations); close friends
相反	相反	4	xiang1fan3	xiāngfǎn	xiang,fan	1,3	opposite; contrary
大夫	大夫	4	dai4fu5	dàifu	dai,fu	4,5	doctor; physician
友谊	友誼	4	you3yi4	yǒuyì	you,yi	3,4	friendship; companionship
准确	准確	4	zhun3que4	zhǔnquè	zhun,que	3,4	accurate; precise
平时	平時	4	ping2shi2	píngshí	ping,shi	2,2	ordinarily; in normal times; in peacetime
对面	對面	4	dui4mian4	duìmiàn	dui,mian	4,4	opposite; across from; the other side
脾气	脾氣	4	pi2qi5	píqi	pi,qi	2,5	temperament; disposition; temper
价格	價格	4	jia4ge2	jiàgé	jia,ge	4,2	price
性格	性格	4	xing4ge2	xìnggé	xing,ge	4,2	nature; personality; temperament
鼓励	鼓勵	4	gu3li4	gǔlì	gu,li	3,4	encourage; inspire
及时	及時	4	ji2shi2	jíshí	ji,shi	2,2	timely; in time; promptly; without delay
迷路	迷路	4	mi2lu4	mílù	mi,lu	2,4	to get lost
棵	棵	4	ke1	kē	ke	1	(mw for plants)
理想	理想	4	li3xiang3	lǐxiǎng	li,xiang	3,3	ideal
工资	工資	4	gong1zi1	gōngzī	gong,zi	1,1	wages; pay; earnings; salary
散步	散步	4	san4 bu4	sàn bù	san,bu	4,4	to go for a walk
只好	隻好	4	zhi3hao3	zhǐhǎo	zhi,hao	3,3	have to; be forced to
感动	感動	4	gan3dong4	gǎndòng	gan,dong	3,4	be moved; to touch emotionally
知识	知識	4	zhi1shi5	zhīshi	zhi,shi	1,5	knowledge; intellectual
难受	難受	4	nan2shou4	nánshòu	nan,shou	2,4	feel unwell; to suffer pain
奖金	獎金	4	jiang3jin1	jiǎngjīn	jiang,jin	3,1	bonus
幽默	幽默	4	you1mo4	yōumò	you,mo	1,4	humorous
孙子	孫子	4	sun1zi5	sūnzi	sun,zi	1,5	grandson; son's son
汗	汗	4	han4	hàn	han	4	sweat; perspiration
汗	汗	4	han2	hán	han	2	Khan
收入	收入	4	shou1ru4	shōurù	shou,ru	1,4	take in; income; revenue
酸	酸	4	suan1	suān	suan	1	sour; sore; ache
公里	公裡	4	gong1li3	gōnglǐ	gong,li	1,3	kilometer
害羞	害羞	4	hai4 xiu1	hài xiū	hai,xiu	4,1	blush; shy
基础	基礎	4	ji1chu3	jīchǔ	ji,chu	1,3	base; foundation
准时	准時	4	zhun3shi2	zhǔnshí	zhun,shi	3,2	punctually; on time
积极	積極	4	ji1ji2	jījí	ji,ji	1,2	active; positive; energetic
富	富	4	fu4	fù	fu	4	wealthy
力气	力氣	4	li4qi5	lìqi	li,qi	4,5	physical strength; effort
入口	入口	4	ru4kou3	rùkǒu	ru,kou	4,3	entrance
袜子	襪子	4	wa4zi5	wàzi	wa,zi	4,5	socks; stockings
烦恼	煩惱	4	fan2nao3	fánnǎo	fan,nao	2,3	worried; vexed
举办	舉辦	4	ju3ban4	jǔbàn	ju,ban	3,4	to conduct; to hold
修理	修理	4	xiu1li3	xiūlǐ	xiu,li	1,3	to repair; perform maintenance; to overhaul
减少	減少	4	jian3shao3	jiǎnshǎo	jian,shao	3,3	reduce; to decrease
亲戚	親戚	4	qin1qi5	qīnqi	qin,qi	1,5	a relative (i.e. family relation)
参观	參觀	4	can1guan1	cānguān	can,guan	1,1	to visit (a place, such as a tourist spot); inspect
丰富	豐富	4	feng1fu4	fēngfù	feng,fu	1,4	rich; enrich; abundant; plentiful
果汁	果汁	4	guo3zhi1	guǒzhī	guo,zhi	3,1	fruit juice
毛巾	毛巾	4	mao2jin1	máojīn	mao,jin	2,1	towel; washcloth
作者	作者	4	zuo4zhe3	zuòzhě	zuo,zhe	4,3	author; writer
海洋	海洋	4	hai3yang2	hǎiyáng	hai,yang	3,2	ocean
批评	批評	4	pi1ping2	pīpíng	pi,ping	1,2	criticize
排队	排隊	4	pai2 dui4	pái duì	pai,dui	2,4	queue; stand in line
例如	例如	4	li4ru2	lìrú	li,ru	4,2	for example; for instance
植物	植物	4	zhi2wu4	zhíwù	zhi,wu	2,4	plant; botanical; vegetation
穷	窮	4	qiong2	qióng	qiong	2	poor; exhausted
家具	家具	4	jia1ju4	jiājù	jia,ju	1,4	furniture
盐	鹽	4	yan2	yán	yan	2	salt
温度	溫度	4	wen1du4	wēndù	wen,du	1,4	temperature
数量	數量	4	shu4liang4	shùliàng	shu,liang	4,4	amount; quantity; number
逛	逛	4	guang4	guàng	guang	4	to stroll; to visit; go window shopping
厚	厚	4	hou4	hòu	hou	4	thick (for flat things); generous
亚洲	亞洲	4	Ya4zhou1	Yàzhōu	ya,zhou	4,1	Asia
来不及	來不及	4	lai2 bu5 ji2	lái bu jí	lai,bu,ji	2,5,2	there's not enough time (to do something); it's too late
师傅	師傅	4	shi1fu5	shīfu	shi,fu	1,5	master; qualified worker; teacher
污染	污染	4	wu1ran3	wūrǎn	wu,ran	1,3	pollution; contamination
来得及	來得及	4	lai2 de5 ji2	lái de jí	lai,de,ji	2,5,2	there's still time
