char_id,char,pinyin,eng,formula,words
150a,?,drag,,,
150b,?,,piled-up,1+5,
150,后,hou4,rear,150a+150b,
151a,?,,comb,,
151,而,er2,and yet,40a+151a,
152a,扌,,hand,,
152,找,zhao3,look for,152a+32a,
153,打,da3,hit,152a+81b,
154,对,dui4,correct,52+104a,
155,树,shu4,tree,10a+154,
156a,田,tian2,field,,
156,男,nan2,male,156a+14,
157,里,li3,in,156a+54a,
158,理,li3,reason,60a+157,
159,电,dian4,electricity,,
160a,?,,outer limits,,
160,同,tong2,same,160a+150b,
161,心,xin1,heart,,
162,必,bi4,inevitable,161+34b,
163,相,xiang1;xiang4,mutual;appearance,10a+93,
164,想,xiang3,think about,163+161,
165,思,si3,think,156a+161,
166a,?,,knee,,
166,今,jin1,now,59a+166a,
167,念,nian4,to study,166+161,
168a,?,,surpass,,
168,年,nian2,year,124b+168a,
169a,?,,to strike,7+52,
169,没,mei2,not,78a+169a,
170,广,guang3,shelter,,
171,床,chuang2,bed,170+10a,
172,长,chang2;zhang3,long;chief,,
173a,弓,gong1,a bow,,
173, 张,zhang1,sheet,173a+172,
174,本,ben3,source,,
175,体,ti3,body,,
176,书,shu1,book,,
177,立,li4,to stand,25b+90a,
178,位,wei4,place,13a+177,
179,拉,la1,pull,152a+177,
180,啦,la,exclamation,5+179,
181,火,huo3,fire,,
182,灯,deng1,lamp,181+81b,
183,占,zhan4,occupy,42a+5,
184,站,zhan4,station,177+183,
185a,灬,,fire,,
185,点,dian3,speck,183+185a,
186,店,dian4,store,170+183,
187,果,guo3,fruit,156a+10a,
188,棵,ke1,number of trees,10a+187,
189,课,ke4,lesson,67c+187,
190a,?,,to tap,124b+25a,
190,政,zheng4,government,29+190a,
191a,古,gu3,old,4+5,
191,故,gu4,former,191a+190a,
192,姑,gu1,aunt,15+191a,
193a,胡,hu2,beard,191a+61,
193,湖,hu2,lake,78a+193a,
194,克,ke4,gram,191a+21,
195,辛,xin1,spicy,177+4,
196,亲,qin1,kin,177+10a,
197,产,chan3,to produce,177+149,
198,卡,ka3,card,42+42a,
199,还,hai2;guan2,still;give back,26a+9,
200,看,kan4,look at,31+93,
201,讨,tao3,ask for,67c+104a,
202,回,hui2,return,24a+5,
203a,?,,concubine,177+15,
203,接,jie1,receive,152a+203a,
204a,?,,sheep,,
204,差,cha4,fall short,204a+147,
205,着,zhao2;zhe,to catch;-ing,204a+93,
206a,匕,,spoon,,
206,能,neng2,able to,34a+61+206a+206a,
207a,乍,zha4,suddenly,,
207,作,zuo4,do,13a+207a,
208,昨,zuo2,yesterday,6+207a,
209,左,zuo3,left,53a+147,
210,做,zuo4,do,13a+191,
211,坐,zuo4,sit,103+54a,
212,座,zuo4,seat,170+211,
213,右,you4,right,53a+5,
214,见,jian4,see,160a+21,
215,现,xian4,the present,,
216,观,guan1,observe,52+214,
217,再,zai4,again,,
218a,艹,,grass,,
218,苦,ku3,bitter,218a+191a,
219a,入,ru4,enter,,
219,内,nei4,inside,160a+12,
220,呐,na4,shout,219+5,
221,肉,rou4,meat,160a+12+12,
222,两,liang3,a couple,160a+1+103,
223,辆,liang4,number of cars,83+222,
224,俩,lia3,two people,13a+222,
225a,?,,scales,218a+222,
225,满,man3,full,78a+225a,
226,互,hu4,reciprocal,,
227,它,ta1,it,91a+206a,
228,比,bi3,compared with,206a+206a,
229,批,pi1,criticize,152a+228,
230,切,qie4,to cut,37+72,
231a,㇆,,blade,,
231b,司,si1,department,150b+231a,
231,词,ci2,word,67c+231b,
232a,曲,,bend,,
232,典,dian3,reference book,232a+20,
233a,纟,,thread,,
233,红,hong2,red,233a+147,
234,细,xi4,slender,233a+156a,
235,其,qi2,this or that,,
236,期,qi1,due,235+61,
237,基,ji1,foundation,235+54a,
238a,犬,quan3,dog,47+22a,
238,尤,you2,especially,47+22a,
239a,?,,tall,,
239b,京,jing1,capital,239a+50,
239,就,jiu4,right away,239b+238,
240,斤,jin1,axe,,
241,近,jin4,close,26a+240,
242,听,ting1,listen,5+240,
243,新,xin1,new,196+240,
244a,?,,river,,
244b,?,,channel,244a+147,
244,经,jing1,go through,233a+244b,
245,轻,qing1,lightweight,83+244b,
246a,?,,ice crystals,22a+22a,
246,头,tou2,head,246a+47,
247a,?,,cap,,
247,买,mai3,buy,247a+246,
248,卖,mai4,sell,4+247,
249,读,du2,to read,67c+248,
250,实,shi2,real,91a+246,
251a,旨,zhi3,purpose,,
251,指,zhi3,point at,152a+251a,
252a,仑,,meditate,19b+206a,
252,伦,lun4,discuss,67c+252a,
253,认,ren4,recognize,67c+12,
254,只,zhi3;zhi1,only;one of a pair,5+20,
255,织,zhi1,weave,233a+254,
256,识,shi2,knowledge,67c+254,
257,音,yin1,sound,177+6,
258,意,yi4,idea,257+161,
259a,戊,wu4,fifth,149+32a,
259,成,cheng2,turn into,231a+259a,
260,城,cheng2,town,54a+259,
261a,耂,,old,,
261,者,zhe3,specialist,261a+6,
262,都,dou1,all,261+96a,
263a,犭,,dog,,
263,猪,zhu1,pig,263a+261,
264,老,lao3,old,261a+206a,
265a,孝,xiao4,filial piety,261a+17,
265,教,jiao1;jiao4,teach,265a+190a,
266a,月,,moon,61,
266b, 肰,,dog food,61+238,
266,然,ran2,however,266b+185a,
267a,彐,snout,,,
267,当,dang1,act as,50+267a,
268a,尸,shi1,corpse,,
268b,尼,ni2,nun,268a+206a,
268,呢,ne,as for, 5+268b,
269,户,hu4,door,22a+268a,
270,所,suo3,building,269+240,
271,己,ji3,self,,
272,记,ji4,note down,67c+271,
273,纪,ji4,discipline,233a+271,
274,已,yi3,already,,
275a,巳,si4,snake,,
275,走,zou3,walk,54a+30a,
276,起,qi3,rise up,276+271,
277,导,dao3,guide,275a+104a,
278a,钅,,gold,,
278,钟,zhong1,clock,278a+33,
279,种,zhong3,species,126a+33,
280,足,zu2,foot,5+30a,
281a,艮,,stubborn,,
281,很,hen3,very,81a+281a,
282,根,gen1,root,10a+281a,
283,跟,gen1,with,280+281a,
284,眼,yan3,eye,93+281a,
285,银,yin2,silver,278a+281a,
286a,良,liang2,good,22a+281a,
286,娘,niang2,young lady,15+286a,
287,食,shi2,food,19b+286a,
288a,饣,,food,,
288,饿,e4,hungry,288a+32,
289,问,wen4,ask,27+5,
290,闻,wen2,hear,27+88a,
291,方,fang1,direction,25b+51a,
292,访,fang3,visit,67c+291,
293,房,fang2,house,269+291,
294,放,fang4,release,291+190a,
295,旁,pang2,beside,177+82a+291,
296,万,wan4,ten thousand,1+51a,
297,主,zhu3,lord,22a+60a,
298,住,zhu4,to live in,13a+297,
299,注,zhu4,pour,78a+297,
300,往,wang4;wang3,towards;go,81a+297,
301a,?,,pedestal,,
301,元,yuan2,yuan,2+21,
302,园,yuan2,garden,24a+301,
303,远,yuan3,distant,26a+301,
304,玩,wan2,play,60a+301,
305,完,wan2,finish,91a+301,
306,院,yuan4,institute,96a+305,
307a,?,,offend,65a+124,
307,南,nan2,south,4+160a+307a,
308,幸,xing4,good fortune,54a+307a,
309,平,ping2,level,124+65a,
310,苹,ping2,apple,218a+309,
311,评,ping2,comment on,67c+309,
312a,⺺,,dexterity,,
312,事,shi4,affair,,
313,面,mian4,face,40a+24a+93,
314a,此,ci3,this,29a+206a,
314,些,xie1,a few,2+314a,
315a,咅,,spit,177+5,
315,倍,bei4,multiple,13a+315a,
316,部,bu4,section,315a+96a,
317a,丬,,firewood,,
317,北,bei3,north,317a+206a,
318a,?,,to lay out,69a+104a,
