char_id,char,pinyin,eng,formula,words
613,乱,luan4,chaotic,457a+612a,
614a,?,,new-born baby,25b+34a,
614,育,yu4,nurture,614a+61,
615a,?,,flood,,
615b,㐬,,birth,614a+615a,
615,流,liu2,to flow,78a+615b,
616a,穴,xue2,hole,91a+20,
616,究,jiu1,investigate,616a+38,
617,空,kong1,empty,616a+147,
618,突,tu1,prominent,616a+238a,
619a,罙,,hearth,82a+20+10a,
619,深,shen1,deep,78a+619a,
620a,由,you2,because,,
620,抽,chou1,to extract,152a+620a,
621,邮,you2,mail,620a+96a,
622a,申,shen1,to state,,
622,神,shen2,gods,433a+622a,
623a,?,,polite,1+620a,
623b,寅,yin2,tiger,91a+623a+20,
623,演,yan3,perform,78a+623b,
624,黄,huang2,yellow,218a+623a+20,
625a,龷,,bacon rashers,,
625,共,gong4,collectively,625a+20,
626a,凵,,pit,,
626,画,hua4,drawing,1+156a+626a,
627,怕,pa4,fear,339a+22,
628,拍,pai1,clap,152a+22,
629a,吅,,cry out,5+5,
629,哭,ku1,weep,629a+238a,
630,器,qi4,utensil,629+629a,
631a,品,pin3,goods,5+629a,
631b,喿,,chirp,613a+10a,
631,操,cao1,exercise,152a+631b,
632,澡,zao3,bathe,78a+631b,
633,早,zao3,early,6+4,
634,掌,zhang1,badge,177+633,
635,草,cao3,straw,218a+633,
636,包,bao1,parcel,23a+275a,
637,饱,bao3,replete,288a+636,
638,抱,bao4,embrace,152a+636,
639,跑,pao3,run,280+636,
640a,冏,,porthole,389a+20,
640,商,shang1,trade,177+640a,
641a,伯,bai3,$100 check,13a+40,
641,宿,su4,stay overnight,91a+641a,
642a,予,yu3,bestow,560a+81b,
642,预,yu4,in advance,642a+477,
643,舍,she4,shed,19b+124+5,
644,舒,shu1,spread out,643+642a,
645,兴,xing4,excited,388a+20,
646a,矛,mao2,spear,642a+34b,
646b,,,stab,646a+640a,
646,橘,ju2,tangerine,10a+646b,
647,桔,ju2,tangerine,10a+538a,
648,举,ju3,to raise,645+130a,
649,句,ju4,sentence,5+23a,
650,局,ju2,office,268a+649,
651,够,gou4,enough,649+69,
652a,付,fu4,pay,13a+104a,
652,附,fu4,near to,96a+652a,
653,府,fu3,government,170+652a,
654a,凶,xiong1,terrible,25a+626a,
654b,?,,brain,25b+654a,
654c,禸,,rump,34a+160a,
654,离,li3,distant from,654b+654c,
655a,,,monkey,156a+654c,
655,遇,yu4,encounter,26a+655a,
656,脱,tuo1,undress,61+67b,
657a,聿,,write with brush,,
657b,廴,,stride,,
657,建,jian4,build,657b+657a,
658,健,jian4,strong,13a+657,
659a,廷,ting2,court,657b+551a,
659,庭,ting2,courtyard,170+659a,
660,挺,ting3,expceptionally,152a+659a,
661a,肖,xiao4,resemble,,
661,消,xiao1,vanish,78a+661a,
662,息,xi1,stop,94+161,
663a,?,,an open door,,
663b,卯,,barred,663a+72,
663,留,liu2,remain,663b+156a,
664a,?,,brigade,,
664b,?,,tributary,,
664,派,pai4,group,78a+664b,
665a,?,,a skirt,,
665b,?,,gown,218a+665a,
665,展,zhan3,display,268a+665b,
666a,畏,wei4,respect,156a+665a,
666,喂,wei4,hey,5+666a,
667a,?,,target,,
667b,矢,,archery contest,667a+490a,
667c,?,,man with stick,13a+19a,
667,候,hou4,wait for,667c+667b,
668,齐,qi2,tidy,25+579a,
669,挤,ji3,squeeze,152a+668,
670,济,ji4,relief,78a+668,
671a,?,,kiss,5+5,
671b,?,,windowpane,671a+65a,
671,黑,hei1,black,671b+54a+185a,
672a,曾,ceng2,used to be,65a+671b+6,
672,增,zeng1,to increase,54a+672a,
673a,免,mian3,avoid,51a+671a+21,
673,晚,wan3,evening,6+673a,
674a,象,xiang4,elephant,51a+671a+109a,
674,像,xiang4,likeness,13a+674a,
675a,奂,,wonderful,51a+401a,
675,换,huan4,exchange,152a+675a,
676a,冈,gang1,ridge,160a+25a,
676,刚,gang1,barely,676a+74a,
677,钢,gang1,steel,278a+676a,
678a,鸟,niao3,bird,,
678,鸡,ji1,chicken,52+678a,
679a,虫,chong2,insect,,
679,虽,sui1,although,5+679a,
680a,舟,zhou1,boat,,
680,般,ban1,a sort,680a+169a,
681,搬,ban1,move,152a+680,
682a,卩,,a vise,,
682b,卬,,aspire,682a+560a,
682,迎,ying2,greet,26a+682b,
683a,氏,shi4,surname,,
683,纸,zhi3,paper,233a+683a,
684a,氐,,settle down,683a+22a,
684,低,di1,low,13a+684a,
685,永,yong3,forever,22a+523,
686,泳,yong3,swim,78a+685,
687a,,,banner,291+124b,
687,族,zu2,clan,687a+490a,
688a,斿,,roam,687a+17,
688,游,you2,tour,78a+688a,
689,冬,dong1,winter,506a+246a,
690,疼,teng2,ache,510b+689,
691,图,tu2,diagram,24a+689,
692a,𡗗,,held in the hands,,
692,春,chun1,springtime,692a+6,
693,秋,qiu1,autumn,126a+181,
694,夏,xia4,summer,40a+93+506a,
695a,丶,,splinter,,
695b,丸,wan2,pellet,38+695a,
695c,执,zhi2,hold on to,152a+695b,
695,热,re4,hot,695c+185a,
696a,享,xiang3,enjoy,239a+17,
696b,孰,,cooked,696a+695b,
696,熟,shu2,familiar,696b+185a,
697a,?,,two sticks,19a+19a,
697b,?,,firm,697a+52,
697,坚,jian1,resolute,697b+54a,
698,紧,jin3,tight,697b+607b,
699a,,,prostrate,697a+321a,
699,览,lan3,to view,699a+214,
700a,皿,,dish,,
700b,监,jian1,supervise,699a+700a,
700,蓝,lan2,blue,218a+700b,
701,籃,lan2,basket,321a+700b,
702a,畐,,plenty,150b+156a,
702,福,fu2,blessing,433a+702a,
703,富,fu4,wealthy,91a+702a,
704,丰,feng1,abundant,704+96a,
705a,邦,bang1,nation,704+96a,
705,帮,bang1,help,705a+427a,
706a,韦,wei2,leather,,
706,围,wei2,surround,24a+706a,
707,伟,wei3,great,13a+706a,
708a,圭,,jade block,54a+54a,
708,挂,gua4,hang,152a+708a,
709,封,feng1,seal up,708a+104a,
710,街,jie1,street,81a+708a+81c,
711a,,ge2,leather,,
711,鞋,xie2,shoe,711a+708a,
712,双,shuang1,pair,52+52,
713a,?,,to select,,
713,炼,lian4,smelt,181+713a,
714,练,lian4,train,233a+713a,
715a,?,,ivy,,
715,段,duan4,piece,715a+169a,
716,锻,duan4,forge,278a+715,
717a,屯,tun2,store,,
717,顿,dun4,session,717a+477,
718,烦,fan2,bother,181+477,
719a,斥,chi4,drive out,240+695a,
719,诉,su4,tell,67c+719a,
720a,约,yue1,approximate,233a+23b,
720,药,yao4,medicine,218a+720a,
721a,争,zheng1,contend,51a+312a,
721,净,jing4,clean,360a+721a,
722,静,jing4,calm,335+721a,
723a,龺,,daybreak,4+633,
723,朝,chao2,facing,723a+61,
724a,卓,zhuo1,eminent,42a+633,
724,掉,diao4,to drop,152a+724a,
725,桌,zhuo1,table,42a+6+10a,
726a,?,,earring,166a+88a,
726,敢,gan3,dare,726a+190a,
727,休,xiu1,leisure,13a+10a,
728,退,tui4,retreat,26a+281a,
729,腿,tui3,leg,61+728,
730a,豆,dou4,bean,150b+90a,
730,短,duan3,brief,490a+730a,
731a,吴,,shout out,5+76,
731,误,wu4,mistake,67c+731a,
732a,采,cai3,pick,365b+10a,
732,彩,cai3,colorful,723a+573a,
733,菜,cai4,vegetable,218a+732a,
734a,釆,,claw marks,89a+334,
734b,番,fan1,a time,734a+156a,
734,播,bo1,to sow,152a+734b,
735,习,xi2,to practice,360a+231a,
736a,羽,yu3,feather,735+735,
736,翻,fan1,turn over,734b+736a,
737a,?,,watch over,52+130a,
737,译,yi4,translate,67c+737a,
738a,余,yu2,surplus,19b+147+50,
738,除,chu2,to remove,96a+738a,
739,茶,cha2,tea,218a+19b+10a,
740a,奇,qi2,strange,47+140,
740,骑,qi2,ride,44+740a,
741,椅,yi3,chair,10a+740a,
742,寄,ji4,send,91a+740a,
743a,昔,xi1,the old days,625a+6,
743,错,cuo4,mistake,278a+743a,
744,借,jie4,borrow,13a+743a,
745a,?,,midnight feast,625a+61,
745,散,san4,disperse,745a+190a,
746a,?,,ravine,7+5,
746,船,chuan2,ship,680a+746a,
747,铅,qian1,lead,278a+746a,
748a,疋,,bolt of cloth,247a+30a,
748,蛋,dan4,egg,748a+679a,
749a,林,lin2,a wood,10a+10a,
749,楚,chu3,clear,749a+748a,
750,麻,ma2,hemp,170+749a,
751,嘛,ma,surely,5+750,
752a,隶,li4,subordinate,312a+523,
752,康,kang1,good health,170+752a,
753,录,lu4,to record,267a+523,
754,绿,lv3,green,233a+753,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,,,
760,,,,,
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
