rank	character	count	cumulative	pinyin	eng
11	这	1552042	14.7037639291	zhe4/zhei4	this/these, this/these/(sometimes used before a measure word, especially in Beijing)
35	能	665358	25.8287572096	neng2	can/may/capable/energy/able
109	长	342148	43.4239138125	chang2/zhang3	length/long/forever/always/constantly, chief/head/elder/to grow/to develop
110	把	340730	43.5999980114	ba3/ba4	(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle
